Answer ID,Time_interface,Control,Likes,Reposts,Comments,Effectivness,Comfort,Age,Sex,Education,Completion_time,Type
answer-2l2u2lvtvknf2,9904,3-4,1,1,1,6,5,26,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",77502,Interstitial
answer-crg6nhj2lvtvkqdn,30323,3-4,2,2,1,6,7,47,Мужчина,"Высшее образование (магистратура, ординатура)",116909,Interstitial
answer-2l2u2lvtvkqla,60263,3-4,1,1,1,6,7,50,Женщина,Ученая степень кандидата / доктора наук,168643,Interstitial
answer-crg6nhj2lvtvl276,45959,3-4,1,1,3,7,7,38,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",127912,Interstitial
answer-crg6nhj2lvtvl3kw,27618,3-4,2,1,1,5,6,35,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",188043,Interstitial
answer-crg6nhj2lvtvl493,23674,3-4,1,1,2,7,6,42,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",124022,Interstitial
answer-2l2u2lvtvl4y5,118990,3-4,1,1,1,7,7,26,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",245868,Interstitial
answer-crg6nhj2lvtvl5ql,24467,3-4,4,4,5,4,4,40,Женщина,"Высшее образование (магистратура, ординатура)",106887,Interstitial
answer-crg6nhj2lvtvl7gj,41891,1-2,1,1,1,7,7,48,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",120593,Interstitial
answer-2l2u2lvtvl9kt,39637,3-4,1,1,2,5,3,28,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",141637,Interstitial
answer-2l2u2lvtvlbv6,13836,2-3,1,1,1,7,7,35,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",48240,Interstitial
answer-2l2u2lvtvlgvs,15830,3-4,1,1,5,7,7,40,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",84192,Interstitial
answer-crg6nhj2lvtvljqs,355662,3-4,4,4,6,6,6,49,Мужчина,"Высшее образование (магистратура, ординатура)",798681,Interstitial
answer-crg6nhj2lvtvlp1e,11961,3-4,3,1,1,5,6,36,Мужчина,"Высшее образование (магистратура, ординатура)",49239,Interstitial
answer-2l2u2lvtvlw8s,24195,3-4,1,1,1,6,1,45,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",100374,Interstitial
answer-2l2u2lvtvlxi2,5514,3-4,1,2,3,4,2,18,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",40659,Interstitial
answer-crg6nhj2lvtvm0k4,11423,1-2,1,1,1,7,1,35,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",106405,Interstitial
answer-crg6nhj2lvtvm36r,129813,3-4,1,1,1,2,2,41,Женщина,"Высшее образование (магистратура, ординатура)",270937,Interstitial
answer-crg6nhj2lvtvm6gf,52248,3-4,1,1,1,5,5,40,Женщина,"Высшее образование (магистратура, ординатура)",-62932,Interstitial
answer-crg6nhj2lvtvma3k,19167,3-4,1,1,1,4,4,40,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",80339,Interstitial
answer-2l2u2lvtvma70,45512,3-4,6,1,1,4,2,34,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",144615,Interstitial
answer-2l2u2lvtvmbsy,41721,2-3,1,1,1,7,7,39,Мужчина,"Высшее образование (магистратура, ординатура)",140268,Interstitial
answer-2l2u2lvtvmcj4,33121,3-4,4,4,4,4,4,31,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",126105,Interstitial
answer-crg6nhj2lvtvmels,9834,3-4,7,7,7,7,7,27,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",52435,Interstitial
answer-2l2u2lvtvmg9v,55036,3-4,1,1,1,4,3,41,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",164315,Interstitial
answer-2l2u2lvtvmixk,15661,3-4,3,1,3,7,5,37,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",70842,Interstitial
answer-crg6nhj2lvtvmlp4,5543,3-4,1,1,1,7,7,30,Женщина,"Высшее образование (магистратура, ординатура)",71813,Interstitial
answer-crg6nhj2lvtvmms6,17188,3-4,3,2,1,6,7,48,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",146767,Interstitial
answer-crg6nhj2lvtvmnw8,42217,3-4,1,1,1,1,1,30,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",108133,Interstitial
answer-2l2u2lvtvmnx8,10917,3-4,1,1,1,7,5,43,Мужчина,"Высшее образование (магистратура, ординатура)",82975,Interstitial
answer-2l2u2lvtvmnxq,9745,3-4,1,1,4,6,6,49,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",-23842,Interstitial
answer-2l2u2lvtvmrva,17072,3-4,2,1,1,6,7,21,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",65597,Interstitial
answer-2l2u2lvtvmt2r,5391,3-4,4,6,4,6,4,37,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",48981,Interstitial
answer-crg6nhj2lvtvmtmy,15801,3-4,1,1,1,6,6,46,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",117322,Interstitial
answer-crg6nhj2lvtvmty9,12259,3-4,1,1,1,6,7,29,Женщина,Основное общее или среднее общее (школьное) образование,85836,Interstitial
answer-crg6nhj2lvtvmv2v,112796,3-4,1,1,1,7,4,45,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",206284,Interstitial
answer-crg6nhj2lvtvmwvi,78513,3-4,2,1,1,4,4,40,Мужчина,"Высшее образование (магистратура, ординатура)",186281,Interstitial
answer-crg6nhj2lvtvmyoi,31483,3-4,1,1,1,7,7,38,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",167877,Interstitial
answer-crg6nhj2lvtvmzr8,19651,2-3,1,1,1,7,5,36,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",103394,Interstitial
answer-2l2u2lvtvn323,109022,3-4,1,1,1,6,3,26,Мужчина,"Высшее образование (магистратура, ординатура)",267868,Interstitial
answer-2l2u2lvtvn3je,26583,3-4,1,1,1,7,7,39,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",87525,Interstitial
answer-crg6nhj2lvtvn6x4,18457,3-4,2,1,4,7,6,36,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",122597,Interstitial
answer-2l2u2lvtvn7t9,18648,3-4,1,1,1,7,5,49,Женщина,"Высшее образование (магистратура, ординатура)",77159,Interstitial
answer-crg6nhj2lvtvna4i,15106,2-3,1,1,4,7,7,38,Мужчина,Основное общее или среднее общее (школьное) образование,108611,Interstitial
answer-crg6nhj2lvtvnam8,55676,3-4,2,1,4,6,6,36,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",157587,Interstitial
answer-2l2u2lvtvnd4j,6529,3-4,7,7,7,7,7,25,Мужчина,"Высшее образование (магистратура, ординатура)",49134,Interstitial
answer-2l2u2lvtvnh6f,21607,3-4,2,1,2,3,2,40,Женщина,"Высшее образование (магистратура, ординатура)",99762,Interstitial
answer-crg6nhj2lvtvnj0b,65987,3-4,1,1,1,5,5,34,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",176821,Interstitial
answer-crg6nhj2lvtvo3tq,9330,3-4,1,1,1,7,6,28,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",148723,Interstitial
answer-2l2u2lvtvo5b2,21507,3-4,1,1,1,7,7,28,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",107094,Interstitial
answer-2l2u2lvtvo9nt,27476,3-4,1,1,1,7,7,45,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",107810,Interstitial
answer-crg6nhj2lvtvoj9o,23523,3-4,1,7,7,7,7,32,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",106650,Interstitial
answer-crg6nhj2lvtvpkwy,6802,3-4,5,6,5,5,6,40,Мужчина,Основное общее или среднее общее (школьное) образование,81052,Interstitial
answer-2l2u2lvtvpwas,71866,3-4,1,1,1,7,7,35,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",319376,Interstitial
answer-crg6nhj2lvtvq7h8,29366,3-4,2,1,3,7,6,30,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",133040,Interstitial
answer-2l2u2lvtvqw04,33954,3-4,1,1,1,2,1,25,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",-394450,Interstitial
answer-crg6nhj2lvtvr1te,3508,3-4,1,1,1,7,7,37,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",69388,Interstitial
answer-crg6nhj2lvtvrgyx,10503,3-4,4,4,1,4,5,38,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",79002,Interstitial
answer-2l2u2lvtvtxx0,4649,3-4,2,1,1,7,7,37,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",119177,Interstitial
answer-crg6nhj2lvtvzyvx,18457,3-4,1,1,1,1,1,49,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",23189,Interstitial
answer-crg6nhj2lvtw6whb,8567,3-4,4,4,1,5,6,41,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",64744,Interstitial
answer-crg6nhj2lvtwfjm2,6374,3-4,3,3,2,2,2,22,Женщина,"Высшее образование (магистратура, ординатура)",49302,Interstitial
answer-2l2u2lvtwfp7y,7671,3-4,6,4,5,4,5,37,Женщина,"Высшее образование (магистратура, ординатура)",50192,Interstitial
answer-crg6nhj2lvtwfpp0,11288,3-4,1,7,1,6,1,41,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",181141,Interstitial
answer-2l2u2lvtwfq2v,8047,3-4,1,1,1,7,4,40,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",97965,Interstitial
answer-2l2u2lvtwfqmh,61150,3-4,1,1,3,7,6,40,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",221353,Interstitial
answer-2l2u2lvtwfrmb,25813,3-4,2,2,2,5,5,41,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",285305,Interstitial
answer-crg6nhj2lvtwi36x,30519,1-2,1,1,1,1,1,38,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",116704,Interstitial
answer-crg6nhj2lvtwlb0m,57374,1-2,1,1,1,7,3,30,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",7348430,Interstitial
answer-crg6nhj2lvtwn4ha,21684,3-4,1,1,1,7,7,44,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",65456,Interstitial
answer-2l2u2lvtpaqme,13445,3-4,1,1,2,5,6,23,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",86722,Contextual
answer-crg6nhj2lvtws1kc,7000,3-4,2,1,1,5,6,37,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",52344,Contextual
answer-crg6nhj2lvtws409,35878,3-4,1,1,2,5,6,34,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",124581,Contextual
answer-crg6nhj2lvtws4vi,13850,2-3,2,1,4,6,5,20,Мужчина,Основное общее или среднее общее (школьное) образование,92780,Contextual
answer-2l2u2lvtws71u,70445,3-4,1,1,2,6,7,39,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",292064,Contextual
answer-2l2u2lvtws8e7,14332,3-4,3,2,2,2,4,33,Женщина,"Высшее образование (магистратура, ординатура)",127758,Contextual
answer-2l2u2lvtws910,23436,3-4,2,2,3,2,2,25,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",170576,Contextual
answer-crg6nhj2lvtws9bx,17036,3-4,1,1,1,7,7,41,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",71410,Contextual
answer-crg6nhj2lvtwscht,9484,3-4,1,1,1,1,1,31,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",48954,Contextual
answer-2l2u2lvtwscqu,52599,3-4,1,1,1,3,1,36,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",146165,Contextual
answer-crg6nhj2lvtwsdzl,31927,3-4,2,2,2,7,7,36,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",98619,Contextual
answer-crg6nhj2lvtwsjwl,36333,3-4,1,1,1,7,7,21,Женщина,Основное общее или среднее общее (школьное) образование,135580,Contextual
answer-crg6nhj2lvtwskzz,27315,3-4,2,1,5,7,7,44,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",116237,Contextual
answer-2l2u2lvtwsmtt,61200,3-4,4,1,1,7,7,49,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",135430,Contextual
answer-2l2u2lvtwspgj,11537,3-4,1,1,1,5,5,33,Мужчина,"Высшее образование (магистратура, ординатура)",72710,Contextual
answer-2l2u2lvtwsr4y,20746,3-4,1,1,1,4,4,42,Женщина,"Высшее образование (магистратура, ординатура)",120426,Contextual
answer-crg6nhj2lvtwst9o,39165,3-4,1,1,1,1,1,43,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",217797,Contextual
answer-2l2u2lvtwsyyq,52217,3-4,2,1,1,6,5,40,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",291100,Contextual
answer-crg6nhj2lvtwt0ah,9669,3-4,1,1,1,7,7,37,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",7140107,Contextual
answer-2l2u2lvtwt0jf,104251,3-4,1,1,1,7,2,34,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",364774,Contextual
answer-2l2u2lvtwt3mi,38927,3-4,1,1,1,7,7,42,Женщина,Основное общее или среднее общее (школьное) образование,107214,Contextual
answer-crg6nhj2lvtwt83f,49489,3-4,3,3,5,3,3,49,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",130713,Contextual
answer-crg6nhj2lvtwt87i,17398,3-4,1,1,1,7,7,46,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",103164,Contextual
answer-2l2u2lvtwtcqb,33060,3-4,5,4,4,4,2,43,Мужчина,"Высшее образование (магистратура, ординатура)",97579,Contextual
answer-2l2u2lvtwtgf0,87449,3-4,1,1,1,7,7,42,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",321595,Contextual
answer-2l2u2lvtwthel,43571,3-4,2,1,5,6,6,35,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",110960,Contextual
answer-crg6nhj2lvtwthfe,13627,1-2,3,1,1,2,1,40,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",107402,Contextual
answer-2l2u2lvtwtikl,18909,2-3,4,2,2,7,5,33,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",-464524,Contextual
answer-crg6nhj2lvtwtk4f,50443,3-4,5,1,1,5,5,45,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",434380,Contextual
answer-2l2u2lvtwtnkr,30749,3-4,6,2,3,7,1,35,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",139920,Contextual
answer-2l2u2lvtwtoca,29344,3-4,1,1,2,6,6,44,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",121401,Contextual
answer-2l2u2lvtwtolu,27002,3-4,3,2,3,2,4,19,Женщина,Основное общее или среднее общее (школьное) образование,237873,Contextual
answer-2l2u2lvtwtpxx,64662,3-4,1,1,1,4,2,40,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",188769,Contextual
answer-crg6nhj2lvtwtrzh,74503,3-4,4,3,2,5,7,30,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",140449,Contextual
answer-2l2u2lvtwtsl6,41642,2-3,6,5,7,3,4,43,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",271318,Contextual
answer-2l2u2lvtwtzax,18857,3-4,4,1,1,3,7,34,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",96329,Contextual
answer-2l2u2lvtwtzg7,53846,3-4,2,1,5,3,2,38,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",193646,Contextual
answer-crg6nhj2lvtwu3g6,20450,3-4,2,2,2,3,2,46,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",133109,Contextual
answer-2l2u2lvtwu5od,26821,3-4,1,1,1,5,4,34,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",138870,Contextual
answer-2l2u2lvtwu807,14024,3-4,1,1,1,7,7,47,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",97874,Contextual
answer-crg6nhj2lvtwu9px,58165,3-4,6,2,2,6,7,32,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",184160,Contextual
answer-crg6nhj2lvtwuco3,8481,3-4,1,1,4,7,7,26,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",267581,Contextual
answer-crg6nhj2lvtwuczj,55829,3-4,5,5,1,7,7,49,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",232035,Contextual
